Player,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27
Joe Ingles,13036364,0,0,0,0,0
Kyle Kuzma,13000000,13000000,13000000,0,0,0
Taurean Prince,13000000,0,0,0,0,0
Robert Covington,12975471,0,0,0,0,0
TJ Warren,12940000,0,0,0,0,0
Luke Kennard,12727273,13745455,14763636,14763636,0,0
Deandre Ayton,12632950,16422835,0,0,0,0
Terrence Ross,12500000,11500000,0,0,0,0
Jordan Clarkson,12420000,13340000,14260000,0,0,0
Dillon Brooks,12200000,11400000,0,0,0,0
Kelly Olynyk,12195122,12804878,12195122,0,0,0
Nicolas Batum,12026998,12185499,0,0,0,0
Josh Hart,12000000,12960000,12960000,0,0,0
Kelly Oubre,12000000,12600000,0,0,0,0
Jusuf Nurkic,12000000,0,0,0,0,0
Josh Richardson,11615328,12196094,0,0,0,0
Marvin Bagley,11312114,14762308,0,0,0,0
DeAndre Jordan,11109327,7827907,0,0,0,0
Dwight Powell,11080125,11080125,0,0,0,0
Devonte Graham,11000000,11550000,12100000,12650000,0,0
Zion Williamson,10733400,13534817,17595262,0,0,0
Larry Nance Jr,10690909,9672727,0,0,0,0
Jeremy Lamb,10500000,0,0,0,0,0
Reggie Jackson,10384500,11215260,0,0,0,0
Richaun Holmes,10384500,11215260,12046020,12876780,0,0
Al-Farouq Aminu,10335621,0,0,0,0,0
Anthony Edwards,10245480,10733400,13534817,17595263,0,0
Luka Doncic,10174391,35700000,38556000,41412000,44268000,47124000
Cade Cunningham,10050120,10552800,11055360,13940809,18123052,0
Danny Green,10000000,10000000,0,0,0,0
Tomas Satoransky,10000000,0,0,0,0,0
Tristan Thompson,9946611,0,0,0,0,0
Kyle Anderson,9937150,0,0,0,0,0
Derrick Favors,9720900,10183800,0,0,0,0
Jae Crowder,9720900,10183800,0,0,0,0
Montrezl Harrell,9720900,0,0,0,0,0
Derrick Jones,9720900,0,0,0,0,0
Serge Ibaka,9720900,0,0,0,0,0
Ja Morant,9603360,12119440,15815869,0,0,0
Reggie Bullock,9536000,10012800,10489600,0,0,0
Alec Burks,9536000,10012800,10489600,0,0,0
Talen Horton-Tucker,9500000,10260000,11020000,0,0,0
Mason Plumlee,9248333,9080417,0,0,0,0
Jaren Jackson Jr,9180560,28946605,27102202,25257798,23413395,0
James Wiseman,9166800,9603360,12119440,15815870,0,0
Jalen Green,8992080,9441840,9891480,12483048,16290377,0
Maxi Kleber,8825000,9075000,0,0,0,0
De'Anthony Melton,8805976,8250000,8000000,0,0,0
Nerlens Noel,8800000,9240000,9680000,0,0,0
Royce O'Neale,8800000,9200000,9500000,0,0,0
Jakob Poeltl,8750000,9398148,0,0,0,0
Thomas Bryant,8666667,0,0,0,0,0
RJ Barrett,8623920,10900634,14301632,0,0,0
Alex Caruso,8600000,9030000,9460000,9890000,0,0
Delon Wright,8526316,0,0,0,0,0
Dario Saric,8510000,9240000,0,0,0,0
Monte Morris,8449074,9125000,9800926,0,0,0
Tyus Jones,8376286,0,0,0,0,0
Trae Young,8326471,29750000,32130000,34510000,36890000,39270000
Daniel Theis,8280351,8694369,9108386,9522404,0,0
LaMelo Ball,8231760,8623920,10900635,14301633,0,0
Seth Curry,8207518,8496653,0,0,0,0
JaMychal Green,8200000,8200000,0,0,0,0
Cedi Osman,8133334,7426088,6718842,0,0,0
Evan Mobley,8075160,8478720,8882640,11227657,14730686,0
De'Andre Hunter,7775400,9835881,12973527,0,0,0
DJ Augustin,7622467,333333,0,0,0,0
Mo Bamba,7568743,10096703,0,0,0,0
Ivica Zubac,7518518,7518518,0,0,0,0
TJ McConnell,7500000,8100000,8700000,9300000,0,0
Rajon Rondo,7500000,0,0,0,0,0
Patrick Williams,7422000,7775400,9835881,12973527,0,0
Cory Joseph,7310000,5155500,0,0,0,0
Scottie Barnes,7280400,7644600,8008680,10130980,13362763,0
Darius Garland,7040880,8920794,11828974,0,0,0
Chris Boucher,7020000,0,0,0,0,0
PJ Tucker,7000000,7350000,0,0,0,0
Zach Collins,7000000,7350000,7700000,0,0,0
Wendell Carter,6920027,14150000,13050000,11950000,10850000,0
Juan Hernangomez,6907815,7419505,0,0,0,0
Isaac Okoro,6720720,7040880,8920794,11828974,0,0
Jalen Suggs,6592920,6922320,7252080,9188385,12183799,0
Cameron Payne,6500000,6000000,6500000,0,0,0
Joakim Noah,6431666,0,0,0,0,0
Jarrett Culver,6395160,0,0,0,0,0
Khem Birch,6350000,6667500,6985000,0,0,0
Collin Sexton,6349671,8559356,0,0,0,0
Onyeka Okongwu,6104280,6395160,8109063,10817490,0,0
Justin Holiday,6006420,6292440,0,0,0,0
Josh Giddey,5988000,6287400,6587040,8352367,11142057,0
Patrick Mills,5890000,6184500,0,0,0,0
Rudy Gay,5890000,6184500,6479000,0,0,0
Dennis Schroeder,5890000,0,0,0,0,0
Kevin Knox,5845978,7921300,0,0,0,0
Coby White,5837760,7413955,9942113,0,0,0
Timofey Mozgov,5573333,0,0,0,0,0
Killian Hayes,5572680,5837760,7413955,9942114,0,0
Mikal Bridges,5557725,20100000,21700000,23300000,24900000,0
Shai Gilgeous-Alexander,5495532,29750000,32130000,34510000,36890000,39270000
Jonathan Kuminga,5466360,5739840,6012840,7636307,10240287,0
Miles Bridges,5421493,7469530,0,0,0,0
Jaxson Hayes,5348280,6803012,9170460,0,0,0
Pat Connaughton,5333334,5728393,0,0,0,0
George Hill,5275491,4000000,0,0,0,0
Michael Porter,5258735,29750000,32130000,34510000,36890000,39270000
Dewayne Dedmon,5256308,2866667,2866667,2866667,0,0
Kris Dunn,5228264,0,0,0,0,0
Ryan Anderson,5214583,0,0,0,0,0
Hamidou Diallo,5200000,5200000,0,0,0,0
Kevon Looney,5178572,0,0,0,0,0
Troy Brown,5170564,7228448,0,0,0,0
Obi Toppin,5105160,5348280,6803012,9170460,0,0
Franz Wagner,5007840,5258280,5508720,7007092,9445560,0
Josh Jackson,5005350,0,0,0,0,0
Kendrick Nunn,5000000,5250000,0,0,0,0
Louis Williams,5000000,0,0,0,0,0
Luol Deng,5000000,0,0,0,0,0
Robin Lopez,5000000,0,0,0,0,0
JaVale McGee,5000000,0,0,0,0,0
Danuel House,4997424,0,0,0,0,0
Rui Hachimura,4916160,6263188,8486619,0,0,0
Garrett Temple,4910000,5155500,5401000,0,0,0
Taj Gibson,4910000,5155500,0,0,0,0
Torrey Craig,4878049,5121951,0,0,0,0
Bruce Brown,4736102,0,0,0,0,0
Deni Avdija,4692840,4916160,6263188,8486619,0,0
Donte DiVincenzo,4675830,6610599,0,0,0,0
Cam Reddish,4670160,5954454,8109966,0,0,0
David Nwaba,4650000,5022000,5394000,0,0,0
Furkan Korkmaz,4629630,5000000,5370370,0,0,0
Davion Mitchell,4603200,4833600,5063640,6451077,8741210,0
Ishmael Smith,4500000,4725000,0,0,0,0
Jeff Green,4500000,4500000,0,0,0,0
Bryn Forbes,4500000,0,0,0,0,0
Jalen Smith,4458000,0,0,0,0,0
Lonnie Walker,4447896,6319683,0,0,0,0
Cameron Johnson,4437000,5887899,8060533,0,0,0
Ziaire Williams,4373040,4591680,4810200,6133005,8353152,0
Bobby Portis,4347600,4564980,0,0,0,0
Moe Harkless,4347600,4564980,0,0,0,0
Kevin Huerter,4253357,14508929,15669643,16830357,17991071,0
Devin Vassell,4235160,4437000,5887899,8060534,0,0
Chandler Hutchison,4224186,0,0,0,0,0
Willie Cauley-Stein,4220083,0,0,0,0,0
PJ Washington,4215120,5808435,7992407,0,0,0
James Bouknight,4154400,4362240,4570080,6064496,8302295,0
Jevon Carter,4107149,3925000,0,0,0,0
Josh Okogie,4087904,5857966,0,0,0,0
Grayson Allen,4054695,9350000,9350000,0,0,0
Jarred Vanderbilt,4050000,4374000,4698000,0,0,0
Tyrese Haliburton,4023600,4215120,5808435,7992406,0,0
Tyler Herro,4004280,5722116,7913686,0,0,0
Dorian Finney-Smith,4000000,12402000,13394160,14386320,15378480,0
Terence Davis,4000000,4000000,0,0,0,0
Gorgui Dieng,4000000,0,0,0,0,0
Aaron Holiday,3980551,5791701,0,0,0,0
Josh Primo,3946800,4144320,4341600,5982725,8232229,0
Jake Layman,3940184,0,0,0,0,0
Anfernee Simons,3938818,5758551,0,0,0,0
Justise Winslow,3902439,4097561,0,0,0,0
Kira Lewis,3822240,4004280,5722116,7913686,0,0
Romeo Langford,3804360,5634257,7837251,0,0,0
Sekou Doumbouya,3799131,0,0,0,0,0
Landry Shamet,3768342,9500000,10250000,11000000,11750000,0
Chris Duarte,3749400,3936960,4124400,5893768,8151081,0
Alex Len,3732000,3918600,0,0,0,0
Robert Williams,3661976,10714287,11571429,12428571,13285713,0
Aaron Nesmith,3631200,3804360,5634257,7837251,0,0
Moses Moody,3562200,3740160,3918480,5803269,8072347,0
Boban Marjanovic,3500000,3500000,0,0,0,0
Mike Muscala,3500000,3500000,0,0,0,0
Cole Anthony,3449400,3613680,5539771,7744600,0,0
Corey Kispert,3383640,3552840,3722040,5705887,7976830,0
Luka Samanic,3355239,0,0,0,0,0
Georges Niang,3300000,3465000,0,0,0,0
Michael Carter-Williams,3300000,0,0,0,0,0
Isaiah Stewart,3277080,3433320,5266713,7399731,0,0
Chuma Okeke,3277080,3433320,5266712,7399731,0,0
Nickeil Alexander-Walker,3261480,5009633,7073602,0,0,0
Alperen Sengun,3214680,3375360,3536280,5424654,7621638,0
Facundo Campazzo,3200000,0,0,0,0,0
Jon Leuer,3169348,0,0,0,0,0
Trey Burke,3150000,3300000,0,0,0,0
Aleksej Pokusevski,3113160,3261480,5009633,7073602,0,0
Goga Bitadze,3098400,4765339,6762016,0,0,0
Trey Murphy,3053760,3206520,3359280,5159854,7285713,0
Sterling Brown,3000000,3000000,0,0,0,0
Frank Jackson,3000000,3150000,0,0,0,0
Josh Green,2957520,3098400,4765339,6762016,0,0
Tre Mann,2901240,3046200,3191400,4908373,6964982,0
Andrew Nicholson,2844429,2844429,0,0,0,0
Matisse Thybulle,2840160,4379526,6275861,0,0,0
Saddiq Bey,2824320,2959080,4556983,6498258,0,0
Kai Jones,2770560,2909040,3047880,4693735,6693266,0
Brandon Clarke,2726880,4343919,6259588,0,0,0
Precious Achiuwa,2711280,2840160,4379526,6275861,0,0
Marc Gasol,2692991,0,0,0,0,0
Jalen Johnson,2659680,2792640,2925360,4510905,6464127,0
LaMarcus Aldridge,2641691,0,0,0,0,0
James Johnson,2641691,0,0,0,0,0
Ed Davis,2641691,0,0,0,0,0
Andre Iguodala,2641691,0,0,0,0,0
Enes Kanter,2641691,0,0,0,0,0
Carmelo Anthony,2641691,0,0,0,0,0
Trevor Ariza,2641691,0,0,0,0,0
Avery Bradley,2641691,0,0,0,0,0
Wayne Ellington,2641691,0,0,0,0,0
Dwight Howard,2641691,0,0,0,0,0
Udonis Haslem,2641691,0,0,0,0,0
Markieff Morris,2641691,0,0,0,0,0
E'Twaun Moore,2641691,0,0,0,0,0
Paul Millsap,2641691,0,0,0,0,0
Grant Williams,2617800,4306281,6235494,0,0,0
Tyrese Maxey,2602920,2726880,4343920,6259588,0,0
Keon Johnson,2553240,2681040,2808720,4474291,6447453,0
Darius Bazley,2513040,4264628,6205035,0,0,0
Trey Lyles,2500000,2625000,0,0,0,0
Zeke Nnaji,2498760,2617800,4306281,6235495,0,0
Isaiah Jackson,2451240,2573760,2696280,4435380,6422431,0
Ty Jerome,2412840,4220057,6169723,0,0,0
Andre Drummond,2401537,0,0,0,0,0
Austin Rivers,2401537,0,0,0,0,0
Kent Bazemore,2401537,0,0,0,0,0
Hassan Whiteside,2401537,0,0,0,0,0
Otto Porter,2389641,0,0,0,0,0
Victor Oladipo,2389641,0,0,0,0,0
Tony Snell,2389641,0,0,0,0,0
Solomon Hill,2389641,0,0,0,0,0
Ben McLemore,2389641,0,0,0,0,0
Cody Zeller,2389641,0,0,0,0,0
Usman Garuba,2353320,2471160,2588400,4392515,6391109,0
Leandro Bolmaro,2353320,2471160,2588400,4392515,6391109,0
Willy Hernangomez,2327220,2443581,2559942,0,0,0
Edmond Sumner,2320000,0,0,0,0,0
Nassir Little,2316240,4171548,6128004,0,0,0
RJ Hampton,2303040,2412840,4220057,6169723,0,0
DeAndre Bembry,2271045,0,0,0,0,0
Josh Christopher,2259240,2372160,2485200,4346615,6354751,0
Monta Ellis,2245400,0,0,0,0,0
Rodney Hood,2239544,0,0,0,0,0
Elfrid Payton,2239544,0,0,0,0,0
Dylan Windler,2239200,4037277,5959021,0,0,0
Immanuel Quickley,2210640,2316240,4171548,6128004,0,0
John Konchar,2200000,2300000,2400000,0,0,0
Quentin Grimes,2168640,2277000,2385720,4296682,6311825,0
Jordan Poole,2161440,3901399,5813084,0,0,0
Bol Bol,2161152,0,0,0,0,0
Drew Eubanks,2160316,0,0,0,0,0
Keldon Johnson,2145720,3873024,5809536,0,0,0
Payton Pritchard,2137440,2239200,4037277,5959021,0,0
Jahlil Okafor,2130023,0,0,0,0,0
Bones Hyland,2096880,2201520,2306400,4158439,6137856,0
Nemanja Bjelica,2089448,0,0,0,0,0
Frank Kaminsky,2089448,0,0,0,0,0
Raul Neto,2089448,0,0,0,0,0
Udoka Azubuike,2075880,2174880,3923483,5818526,0,0
Jaden McDaniels,2063280,2161440,3901399,5813084,0,0
Malachi Flynn,2048040,2145720,3873024,5809537,0,0
DeMarcus Cousins,2038942,0,0,0,0,0
Cam Thomas,2036280,2138160,2240160,4041249,5993172,0
Desmond Bane,2033160,2130240,3845083,5767625,0,0
Jaden Springer,2023680,2125200,2226240,4018363,5987361,0
Day'Ron Sharpe,2009160,2109480,2210040,3989122,5983683,0
Jordan McLaughlin,2000000,2160000,2320000,0,0,0
Garrison Mathews,2000000,2000000,2000000,2230253,0,0
Jeremiah Robinson-Earl,2000000,2000000,1900000,1988598,0,0
Kenrich Williams,2000000,2000000,0,0,0,0
Theo Maledon,2000000,1900000,1930681,0,0,0
Abdel Nader,2000000,0,0,0,0,0
Santiago Aldama,1994520,2094120,2194200,3960531,5940797,0
Damian Jones,1977011,0,0,0,0,0
Wesley Matthews,1958495,0,0,0,0,0
Timothe Luwawu,1939350,0,0,0,0,0
Rodney McGruder,1939350,0,0,0,0,0
Wesley Iwundu,1926834,0,0,0,0,0
Damion Lee,1910860,0,0,0,0,0
PJ Dozier,1910860,0,0,0,0,0
Killian Tillie,1901625,1901625,0,0,0,0
Moses Brown,1893453,0,0,0,0,0
Tyrell Terry,1869438,1782621,0,0,0,0
Larry Sanders,1865546,0,0,0,0,0
Shake Milton,1846738,1997718,0,0,0,0
Jalen Brunson,1802057,0,0,0,0,0
Mitchell Robinson,1802057,0,0,0,0,0
Armoni Brooks,1797147,1752638,0,0,0,0
Tony Bradley,1789256,2036318,0,0,0,0
Frank Ntilikina,1789256,2036318,0,0,0,0
Semi Ojeleye,1789256,0,0,0,0,0
Malik Monk,1789256,0,0,0,0,0
Dennis Smith,1789256,0,0,0,0,0
Didi Louzada,1786878,1876222,1965566,2057646,0,0
Kevin Porter,1782621,3217631,4826446,0,0,0
Jalen McDaniels,1782621,1930681,0,0,0,0
Terance Mann,1782621,1930681,10576923,11423077,0,0
Jaylen Nowell,1782621,1930681,0,0,0,0
Naz Reid,1782621,1930681,0,0,0,0
Isaiah Roby,1782621,1930681,0,0,0,0
Daniel Gafford,1782621,1930681,12402000,13394160,14386320,0
Nicolas Claxton,1782621,0,0,0,0,0
Cody Martin,1782621,0,0,0,0,0
Dean Wade,1782621,1930681,0,0,0,0
Vlatko Cancar,1782621,0,0,0,0,0
Bruno Fernando,1782621,0,0,0,0,0
Carsen Edwards,1782621,0,0,0,0,0
Luguentz Dort,1782621,1930681,0,0,0,0
KZ Okpala,1782621,0,0,0,0,0
Eric Paschall,1782621,0,0,0,0,0
Chimezie Metu,1762796,1910860,0,0,0,0
Yuta Watanabe,1762796,0,0,0,0,0
Thanasis Antetokounmpo,1729217,1878720,0,0,0,0
Keita Bates-Diop,1729217,1878720,0,0,0,0
Sviatoslav Mykhailiuk,1729217,1878720,0,0,0,0
Isaiah Hartenstein,1729217,0,0,0,0,0
Moritz Wagner,1729217,1878720,0,0,0,0
Isaac Bonga,1729217,0,0,0,0,0
Juan Toscano-Anderson,1701593,0,0,0,0,0
Oshae Brissett,1701593,1846738,0,0,0,0
Herb Jones,1700000,1785000,1836096,0,0,0
Gabriel Deck,1690507,0,0,0,0,0
Javonte Green,1669178,1815677,0,0,0,0
Max Strus,1669178,1815677,0,0,0,0
Gabe Vincent,1669178,1815677,0,0,0,0
Matt Thomas,1669178,0,0,0,0,0
Gary Payton II,1669178,0,0,0,0,0
Robert Woodard,1619015,0,0,0,0,0
Lance Stephenson,1614825,0,0,0,0,0
Deividas Sirvydis,1603559,0,0,0,0,0
Daniel Oturu,1603559,0,0,0,0,0
Kevin Pangos,1569178,0,0,0,0,0
Bismack Biyombo,1518213,0,0,0,0,0
Nick Richards,1517981,1782621,0,0,0,0
Lamar Stevens,1517981,1782621,1930681,0,0,0
KJ Martin,1517981,1782621,1930681,0,0,0
Xavier Tillman,1517981,1782621,1930681,0,0,0
Naji Marshall,1517981,1782621,1930681,0,0,0
Isaiah Joe,1517981,1782621,0,0,0,0
Paul Reed,1517981,1782621,0,0,0,0
Tre Jones,1517981,1782621,0,0,0,0
Vernon Carey,1517981,1782621,1930681,0,0,0
Jae'Sean Tate,1517981,1782621,0,0,0,0
Sam Merrill,1517981,0,0,0,0,0
Jordan Nwora,1517981,0,0,0,0,0
CJ Elleby,1517981,0,0,0,0,0
Elijah Hughes,1517981,0,0,0,0,0
Jahmi'us Ramsey,1517981,0,0,0,0,0
Anthony Gill,1517981,0,0,0,0,0
Isaiah Todd,1500000,1563518,1836096,1988598,0,0
Saben Lee,1489065,1752638,1902137,0,0,0
Omer Yurtseven,1489065,1752638,0,0,0,0
JR Smith,1456667,0,0,0,0,0
Stanley Johnson,1368998,2351521,0,0,0,0
Aaron Wiggins,1305761,1563518,1836096,1988598,0,0
Marquese Chriss,1292900,2193920,0,0,0,0
JT Thor,1250000,1563518,1836096,1988598,0,0
DeMarre Carroll,1242340,0,0,0,0,0
Jabari Parker,1168286,0,0,0,0,0
Alfonzo McKinnie,1090007,0,0,0,0,0
Zhaire Smith,1068200,1068200,0,0,0,0
Jason Preston,1062303,1563518,1836096,0,0,0
Isaiah Livers,1057260,1563518,1836096,0,0,0
Guerschon Yabusele,1039080,0,0,0,0,0
Denzel Valentine,1005633,0,0,0,0,0
Alize Johnson,1003740,0,0,0,0,0
Kyle Singler,999200,999200,0,0,0,0
Kelan Martin,993760,0,0,0,0,0
Miye Oni,946261,0,0,0,0,0
Ayo Dosunmu,925258,1563518,0,0,0,0
Marko Simonovic,925258,1563518,1836096,0,0,0
BJ Boston,925258,1563518,1836096,0,0,0
Austin Reaves,925258,1563518,0,0,0,0
Miles McBride,925258,1563518,1836096,0,0,0
Vit Krejci,925258,1563518,1836096,1988598,0,0
Charles Bassey,925258,1563518,1836096,0,0,0
Greg Brown,925258,1563518,1836096,0,0,0
Jock Landale,925258,1563518,0,0,0,0
Jared Butler,925258,1563518,0,0,0,0
Luka Garza,925258,1563518,0,0,0,0
Dalano Banton,925258,1563518,0,0,0,0
Daishen Nix,923078,1563518,1836096,1988598,0,0
Isaiah Thomas,910926,0,0,0,0,0
Mamadi Diakite,869078,0,0,0,0,0
Caleb Martin,844011,1576305,0,0,0,0
Brad Wanamaker,814918,0,0,0,0,0
Luke Kornet,812364,0,0,0,0,0
Wayne Selden,812363,0,0,0,0,0
Gary Clark,811213,1576305,0,0,0,0
Ryan Arcidiacono,774727,0,0,0,0,0
Trendon Watford,768830,1563518,1836096,1988598,0,0
Patrick Patterson,737067,0,0,0,0,0
Devontae Cacok,726128,1576305,0,0,0,0
Admiral Schofield,723741,1576305,0,0,0,0
Ishmail Wainright,707311,1701305,0,0,0,0
Shaun Livingston,666666,0,0,0,0,0
Malik Fitts,630874,1752638,0,0,0,0
Sam Hauser,619498,1563518,0,0,0,0
Amir Coffey,573576,1576305,0,0,0,0
Joe Wieskamp,563663,1576305,0,0,0,0
Keifer Sykes,558345,1563518,0,0,0,0
Greg Monroe,552076,0,0,0,0,0
Haywood Highsmith,547701,1752638,1902137,0,0,0
Nik Stauskas,534993,2193920,0,0,0,0
Davon Reed,532398,1576305,0,0,0,0
Wenyen Gabriel,506530,0,0,0,0,0
Jose Alvarado,499852,1563518,1836096,1988598,0,0
Chris Silva,479650,0,0,0,0,0
Sharife Cooper,462629,1576305,0,0,0,0
Skylar Mays,462629,1576305,0,0,0,0
Brodric Thomas,462629,1576305,0,0,0,0
David Duke,462629,1576305,0,0,0,0
Kessler Edwards,462629,1576305,0,0,0,0
Arnoldas Kulboka,462629,1576305,0,0,0,0
Scottie Lewis,462629,1576305,0,0,0,0
Tyler Cook,462629,1576305,0,0,0,0
RJ Nembhard,462629,1576305,0,0,0,0
Markus Howard,462629,1576305,0,0,0,0
Jamorko Pickett,462629,1576305,0,0,0,0
Sean Chris Smith,462629,1576305,0,0,0,0
Chris Chiozza,462629,1576305,0,0,0,0
Duane Washington Jr,462629,1576305,0,0,0,0
Jay Scrubb,462629,1576305,0,0,0,0
Yves Pons,462629,1576305,0,0,0,0
Georgios Kalaitzakis,462629,0,0,0,0,0
Sandro Mamukelashvili,462629,1576305,0,0,0,0
Nathan Knight,462629,1576305,0,0,0,0
McKinley Wright,462629,1576305,0,0,0,0
Jericho Sims,462629,1576305,0,0,0,0
Ignas Brazdeikis,462629,1576305,0,0,0,0
Keljin Blevins,462629,1576305,0,0,0,0
Neemias Queta,462629,1576305,0,0,0,0
Justin Champagnie,462629,1576305,0,0,0,0
David Johnson,462629,1576305,0,0,0,0
Trent Forrest,462629,1576305,0,0,0,0
Joel Ayayi,462629,1576305,0,0,0,0
Cassius Winston,462629,1576305,0,0,0,0
Justin Anderson,445828,0,0,0,0,0
Theo Pinson,440710,1576305,0,0,0,0
Charlie Brown,431151,1576305,0,0,0,0
James Ennis,386127,0,0,0,0,0
Langston Galloway,386127,0,0,0,0,0
Tim Frazier,386127,0,0,0,0,0
Kyle Guy,383079,0,0,0,0,0
Sam Dekker,350000,0,0,0,0,0
Quinndary Weatherspoon,346491,0,0,0,0,0
Brandon Goodwin,343988,1576305,0,0,0,0
Terry Taylor,342984,1576305,0,0,0,0
Malcolm Hill,324373,1576305,0,0,0,0
Louis King,316396,0,0,0,0,0
Justin Jackson,308493,0,0,0,0,0
Shaquille Harrison,308493,0,0,0,0,0
